Label: 	Net Cash 1/ Sales %[FY 2011]
/tGoodwill ($USDmm, Current rate): 	0.019551
/tR&D Exp./Total Revenue % : 	0.019196
/tPayout Ratio  (%): 	0.018405
/tR&D Exp.  ($USDmm, Current rate): 	0.016759
/tYear Founded: 	0.012617
/tNumber of Employees (Latest): 	0.011471
/tcash flow risk: 	0.011439
/t准入资本市场难度: 	0.004479
/tIndustry Dummy: 	0.002510
/tCash flow risk(0:low; 1: high): 	0.000978

Total Min: 	0.094035
Total Mean: 	15.246226
Total Median: 	8.646961
Total Max: 	92.017715
